Y,X,N,q1,q3,pred.q1,pred.q3,point.diff,lb.diff,ub.diff,Pval
ln_mpo1,ln_preg_estri,283,0.9528148174285889,1.7640419006347656,8.704753102983837,8.943203170732914,0.2384500677490778,-0.13607305079777843,0.612973186295934,0.21383780949649084
ln_mpo2,ln_preg_estri,504,0.7414391785860062,1.709464192390442,8.640320397383062,8.562404392782396,-0.07791600460066733,-0.2295676494415842,0.07373564024024953,0.31857875789484563
ln_mpo3,ln_preg_estri,528,0.7849282771348953,1.7354494035243988,7.6518430320819695,7.641766229329762,-0.010076802752207336,-0.16649655438099037,0.14634294887657567,0.9074060472694601
ln_aat1,ln_preg_estri,283,0.9528148174285889,1.7640419006347656,-0.6910749961722887,-0.5067911609020869,0.18428383527020206,-0.10680751434604988,0.475375184886454,0.21649627620918513
ln_aat2,ln_preg_estri,504,0.7414391785860062,1.709464192390442,-0.8316681647265466,-0.9108887533278396,-0.07922058860129295,-0.25910412559730917,0.10066294839472327,0.39500491644795666
ln_aat3,ln_preg_estri,528,0.7849282771348953,1.7354494035243988,-1.1419766373357465,-1.2057874423141186,-0.06381080497837173,-0.16213475601735428,0.0345131460606108,0.20492208964376032
ln_neo1,ln_preg_estri,283,0.9528148174285889,1.7640419006347656,6.7695111406477455,7.073222166528854,0.3037110258811077,0.061604667699440896,0.5458173840627745,0.013873565531896705
ln_neo2,ln_preg_estri,504,0.7414391785860062,1.709464192390442,6.825162406103525,6.726842722833552,-0.09831968326997302,-0.18372418534387483,-0.012915181196071213,0.023853307100717383
ln_neo3,ln_preg_estri,528,0.7849282771348953,1.7354494035243988,6.304425475210273,6.198329840525066,-0.10609563468520683,-0.21551336647096447,0.0033220971005508276,0.05697236579238474
ln_reg2,ln_preg_estri,503,0.737613171339035,1.7083772420883179,5.038684107001925,4.981135740794522,-0.05754836620740289,-0.1567999380120209,0.041703205597215146,0.2586932623385202
ln_L_conc_t1,ln_preg_estri,344,1.0027130842208862,1.8105772733688354,-0.5558617602734829,-0.5047886440449616,0.05107311622852119,-0.0676329709706807,0.16977920342772307,0.4063793550364464
ln_L_conc_t2,ln_preg_estri,488,0.7236636430025101,1.7144273221492767,-1.3154804528945478,-1.4266359440827656,-0.11106465631045995,-0.23124448133885328,0.009115168717933386,0.06969610815649595
ln_L_conc_t3,ln_preg_estri,522,0.773561030626297,1.7288192212581635,-1.279940505591163,-1.252619004260692,0.027321501330471204,-0.09255070338552625,0.14719370604646864,0.6680967814848325
ln_M_conc_t1,ln_preg_estri,344,1.0027130842208862,1.8105772733688354,1.6314003793934737,1.6894307483603421,0.05803036896686827,-0.05334574339678765,0.1694064813305242,0.3115930602680391
ln_M_conc_t2,ln_preg_estri,488,0.7236636430025101,1.7144273221492767,0.8744611743845997,0.8016818140929005,-0.07271988590829638,-0.19054510424326482,0.04510533242667207,0.22853029755730778
ln_M_conc_t3,ln_preg_estri,522,0.773561030626297,1.7288192212581635,1.5214499917891087,1.4690316147883449,-0.052418377000763634,-0.31050779619625474,0.20567104219472748,0.7037408960671128
