Y,X,N,q1,q3,pred.q1,pred.q3,point.diff,lb.diff,ub.diff,Pval
ln_mpo1,ln_preg_estri,234,0.9582960307598114,1.7380514740943909,8.954999234061036,8.943185685153644,-0.011813548907394488,-0.15567112257419635,0.13204402475940735,0.8814547530741305
ln_mpo2,ln_preg_estri,440,0.8178541660308838,1.7136176824569702,8.632450310517086,8.55237409984634,-0.08007621067074551,-0.2692378974286507,0.10908547608715967,0.4142504798773408
ln_mpo3,ln_preg_estri,522,0.7842438071966171,1.7288192212581635,8.08214413079766,8.188488320579392,0.10634418978172804,-0.083129571923145,0.29581795148660106,0.2746724249968243
ln_aat1,ln_preg_estri,235,0.9583919048309326,1.7523722648620605,-0.4472836938895157,-0.2712299219804316,0.1760537719090841,-0.12477163905490385,0.47687918287307207,0.2541588176969313
ln_aat2,ln_preg_estri,497,0.7452651858329773,1.709464192390442,-0.7323640966041726,-0.7645241751275367,-0.0321600785233643,-0.12549658391323157,0.061176426866502966,0.5096922813127763
ln_aat3,ln_preg_estri,525,0.7852705121040344,1.7293519973754883,-0.8036520505619202,-0.8681414892899358,-0.06448943872801552,-0.1869886854169121,0.05800980796088108,0.3064386388215356
ln_neo1,ln_preg_estri,235,0.9583919048309326,1.7523722648620605,6.647003159076964,6.77772116961364,0.13071801053667637,0.025473968465446833,0.2359620526079059,0.014833926539756502
ln_neo2,ln_preg_estri,442,0.8243941068649292,1.7136176824569702,6.864322206696303,6.751181050072078,-0.11314115662422507,-0.21955590389572954,-0.0067264093527205915,0.03685844153579548
ln_neo3,ln_preg_estri,526,0.78900445997715,1.7326708734035492,5.845119616119667,5.761728974709494,-0.08339064141017286,-0.39272718685005104,0.2259459040297053,0.6095808654393405
ln_reg2,ln_preg_estri,441,0.8237367868423462,1.7136176824569702,5.039636663892947,5.05173834528927,0.012101681396324077,-0.11171278062087175,0.1359161434135199,0.8584527596478972
ln_L_conc_t1,ln_preg_estri,290,1.0389474034309387,1.8071357011795044,-1.0625283912488694,-0.9876454664598878,0.07488292478898184,0.014518205076408865,0.13524764450155483,0.014957053690332813
ln_L_conc_t2,ln_preg_estri,485,0.7265819907188416,1.7136176824569702,-1.1020919467530452,-1.2252177730234426,-0.12312582627039743,-0.24469475252149436,-0.0015569000193005056,0.04676509154299772
ln_L_conc_t3,ln_preg_estri,520,0.7795408666133881,1.7277536690235138,-1.3107169285247489,-1.2477269021921176,0.06299002633263072,-0.08573583710802786,0.2117158897732893,0.4140110486562881
ln_M_conc_t1,ln_preg_estri,290,1.0389474034309387,1.8071357011795044,1.0519263860204409,1.158162155598054,0.10623576957761313,-0.05223184224532018,0.26470338140054644,0.19007198084054264
ln_M_conc_t2,ln_preg_estri,482,0.7274267822504044,1.7136176824569702,1.0217832697910314,0.9285942046480429,-0.09318906514298926,-0.21318164713744142,0.026803516851462886,0.12805535635153656
ln_M_conc_t3,ln_preg_estri,520,0.7795408666133881,1.7277536690235138,1.4141725135308632,1.3931811934676035,-0.020991320063259343,-0.2861901313569123,0.24420749123039362,0.8858142662728488
