Y,X,q1,q3,pred.q1,pred.q3,point.diff,lb.diff,ub.diff,Pval
ln_mpo1,ln_preg_cort,2.6173958778381348,3.2752561569213867,9.075771506600558,9.002141179131446,-0.07363032746911552,-0.2575389831797389,0.11027832824150785,0.4409601016159914
ln_mpo2,ln_preg_cort,2.4948570728302,3.2638492584228516,8.527113262522462,8.454968418475605,-0.0721448440468607,-0.22519785956462382,0.08090817147090243,0.3614928920770734
ln_mpo3,ln_preg_cort,2.528923511505127,3.266474723815918,8.183795215357094,8.221786982667759,0.03799176731066779,-0.1606596726596629,0.23664320728099847,0.7209269928675477
ln_aat1,ln_preg_cort,2.6173958778381348,3.2752561569213867,-0.7413950323765172,-0.6663269907851352,0.07506804159138192,-0.19836866230854383,0.34850474549130767,0.6027464241960895
ln_aat2,ln_preg_cort,2.4927899837493896,3.259440779685974,-0.589688314094539,-0.7760572241707631,-0.1863689100762241,-0.34319909016916006,-0.02953872998328813,0.01970643249750254
ln_aat3,ln_preg_cort,2.528923511505127,3.266474723815918,-0.9167511384044077,-0.9378746563084003,-0.02112351790399284,-0.2203418918957066,0.17809485608772094,0.846219914821036
ln_neo1,ln_preg_cort,2.6173958778381348,3.2752561569213867,6.847427692384042,6.887645347675055,0.04021765529101363,-0.10509709203577366,0.1855324026178009,0.5996851777346572
ln_neo2,ln_preg_cort,2.4948570728302,3.2638492584228516,6.861812419970928,6.806664972885994,-0.055147447084933354,-0.189644969624708,0.0793500754548413,0.4296034633717134
ln_neo3,ln_preg_cort,2.528923511505127,3.266474723815918,5.955099525845534,5.851053332473059,-0.10404619337247396,-0.2702299870419527,0.06213760029700481,0.2217288928191874
ln_reg2,ln_preg_cort,2.4948570728302,3.2638492584228516,4.981460228550437,5.040270667081471,0.0588104385310339,-0.09534035430642754,0.21296123136849535,0.4635903402817893
ln_L_conc_t1,ln_preg_cort,2.6632267236709595,3.285129487514496,-1.1588722109216167,-0.8804086869282615,0.2784635239933556,-0.009838038804758253,0.5667650867914695,0.05794486674176811
ln_L_conc_t2,ln_preg_cort,2.5095744132995605,3.2638492584228516,-1.2417350976055124,-1.3616799971235278,-0.11994489951801497,-0.27999375756614114,0.040103958530111186,0.1421680814529801
ln_L_conc_t3,ln_preg_cort,2.5101813077926636,3.266188621520996,-1.3116039214617872,-1.3234508261458853,-0.011846904684098054,-0.17963845015194652,0.15594464078375042,0.8983557674681402
ln_M_conc_t1,ln_preg_cort,2.6632267236709595,3.285129487514496,1.2056906356054742,1.3203383582677466,0.1146477226622724,-0.03452418278225551,0.2638196281068003,0.13211888412199338
ln_M_conc_t2,ln_preg_cort,2.5095744132995605,3.2638492584228516,0.7112239308004815,0.6881721136605021,-0.023051817139979332,-0.17997152762183166,0.133867893341873,0.7858952797003249
ln_M_conc_t3,ln_preg_cort,2.5101813077926636,3.266188621520996,1.2239082597621789,1.2058566289789825,-0.018051630783196125,-0.1482352867464269,0.11213202518003462,0.7980428512242378
